Exxon Mobil Corp XOM
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Sep 20, 2021",53.78,54.17,52.96,53.69,"27,555,060"
,"Sep 21, 2021",54.37,54.51,53.25,53.64,"19,696,793"
,"Sep 22, 2021",54.43,55.91,54.37,55.21,"25,690,630"
,"Sep 23, 2021",55.42,57.24,55.28,57.08,"23,069,407"
,"Sep 24, 2021",56.70,57.82,56.68,57.59,"22,328,565"
,"Sep 27, 2021",58.85,59.80,58.82,59.30,"32,972,244"
,"Sep 28, 2021",59.90,60.48,59.51,59.92,"37,619,271"
,"Sep 29, 2021",59.84,60.19,59.05,59.88,"23,422,802"
,"Sep 30, 2021",60.12,60.17,58.81,58.82,"31,289,624"
,"Oct 1, 2021",59.41,60.99,59.41,60.93,"24,407,339"
,"Oct 4, 2021",61.32,62.07,60.95,61.72,"33,946,677"
,"Oct 5, 2021",62.52,62.70,61.02,61.62,"29,641,561"
,"Oct 6, 2021",60.47,61.12,59.75,60.49,"25,284,920"
,"Oct 7, 2021",60.61,61.08,60.14,60.66,"19,513,600"
,"Oct 8, 2021",61.25,62.42,61.25,62.18,"22,186,890"
,"Oct 11, 2021",63.03,63.06,61.50,61.56,"22,121,487"
,"Oct 12, 2021",61.57,61.98,60.85,61.24,"20,198,556"
,"Oct 13, 2021",60.78,61.39,60.21,61.07,"14,991,717"
,"Oct 14, 2021",61.71,62.22,61.17,62.00,"18,594,501"
